sessionid,email,createdate,language,country,processed,total,converted
1o1mni21lcmdmzyowk,anon+fb0c2352c632@example.invalid,2025-08-10 13:05:11.126906+02,es,ES,True,17.82,True
1o1mni21lcmdr63fes,,2025-08-03 20:31:40.887571+02,es,ES,False,0.0,False
1o1mni21lcmdscm0wx,,2025-08-03 00:10:53.381649+02,es,RU,False,14.8,False
1o1mni21lcmdsee21z,anon+9b087c1df5b0@example.invalid,2025-08-02 20:52:23.190675+02,fr,FR,True,0.0,True
1o1mni21lcmdtiuw8t,anon+6c7e31760200@example.invalid,2025-08-04 18:41:04.23123+02,es,ES,True,,False
1o1mni21lcmdtx6yz0,anon+c8840dca132d@example.invalid,2025-08-02 21:07:52.748245+02,es,ES,True,24.8,False
1o1mni21lcmdu4w375,,2025-08-04 23:43:09.938688+02,fr,FR,False,29.3,False
1o1mni21lcmdu5tqlz,,2025-08-04 18:23:43.801364+02,fr,FR,False,14.8,False
1o1mni21lcmdu7nwo6,anon+d6c29154830f@example.invalid,2025-08-05 20:14:45.026208+02,es,ES,True,28.3,False
1o1mni21lcmdu89bf9,anon+25baa995b2f1@example.invalid,2025-08-02 14:29:22.783851+02,es,ES,True,0.0,True
1o1mni21lcmdu8i85v,anon+2a1b31853175@example.invalid,2025-08-02 14:44:54.930209+02,fr,FR,True,23.14,False
1o1mni21lcmdu8lgo1,,2025-08-02 14:57:32.29515+02,fr,FR,False,29.3,False
1o1mni21lcmdu8uo9j,anon+7599e2965dcd@example.invalid,2025-08-02 14:47:06.494512+02,es,ES,True,,False
1o1mni21lcmdu9n84c,,2025-08-02 15:13:57.302252+02,sv,SE,False,118.0,False
1o1mni21lcmdu9tz85,anon+705e664eac5a@example.invalid,2025-08-02 15:14:41.979133+02,en,GB,True,51.1,True
1o1mni21lcmdu9w4my,,2025-08-02 15:19:30.295284+02,fr,FR,False,23.8,False
1o1mni21lcmduam6i0,,2025-08-02 15:36:10.618119+02,es,ES,False,10.8,False
1o1mni21lcmdubt9dp,,2025-08-02 16:15:58.748699+02,fr,FR,False,,False
1o1mni21lcmducwe02,anon+956fbc6c80dc@example.invalid,2025-08-02 16:53:32.692499+02,fr,FR,True,20.3,True
